,,,
Jan,,,
USENIX ATC'25,"Abstract registrations due: Tuesday, January 7, 2025, 11:59 pm UTC
Submissions due: Tuesday, January 14, 2025, 11:59 pm UTC","JULY 7–9, 2025
BOSTON, MA, USA",A
,,,
SIGMOD’26,"CYCLE 1: SIGMOD
January 10, 2025 : Abstract submission & declaration of COIs
January 17, 2025 : Paper submission","May 31 - June 5, 2026
Bengaluru, India",A*
ACM SIGMETRICS 2026,"Winter submission website: sigmetrics26winter.hotcrp.com 
Registration of abstract: January 06, 2026
Paper submission: January 13, 2025","Ann Arbor, Michigan, USA
June 8-12, 2026",A*
Feb,,,
HPDC'26,"January 29, 2026. Abstract Registration (Technical Papers)
February 5, 2026. (Firm) Paper Submission Deadline (Technical Papers)","Cleveland, Ohio, United States, from July 13 to 16, 2026.",A
ACM PODC 2026,"Abstract submission: coming soon
Full paper submission: coming soon","July 6-10, 2026, Egham, England",A*
SPAA 2025,"Abstract registration: February 21, 2025 11:59pm AoE
Full papers submission:February 28, 2025 11:59pm AoE","Royal Holloway, University of London, in London, UK, July 6-10, 2026",A
ICS 2026,"Abstract submission: February 2nd, 2026
Paper submission: February 9th, 2026","6-9 July 2026, Belfast, Northern Ireland, United Kingdom",A
March,,,
HotStorage 2025,"Paper submissions due: Thursday, March 27, 2025, AoE","July 10-11, 2025
Boston, MA",
ASPLOS 2026,"Spring Cycle

Abstract submission — March 05, 2025 (11:59pm Eastern)
Full paper submission — March 12, 2025","Pittsburgh, USA – March 22-26, 2026",A*
April,,,
SC 2026,"Abstract Submissions Close 1 APR 2026
Full Paper Submissions Close 8 APR 2026","NOV 15–20, 2026
Chicago, IL",A
SIGMOD’26,"CYCLE 2 : SIGMOD (All Deadlines are 11:59 PM Pacific Time)
April 10, 2025 : Abstract submission & declaration of COIs
April 17, 2025 : Paper submission","May 31 - June 5, 2026
Bengaluru, India",A*
SOSP 2026,"Deadline to register abstracts        	March 26, 2026 (AoE)
Submission deadline       April 1, 2026 (AoE)","September 29th - October 2nd, 2026 · Clarion Congress Hotel Prague, Prague, Czechia",A*
PACT 2025,"Submission of full papers or extended abstracts 
April 27, 2025","October 6-10, 2025
Almaty, Kazakhstan",B
NSDI'26,"Spring deadline

Paper titles and abstracts due: Friday, Apr 18, 2025
Full paper submissions due: Friday, Apr 25, 2025","May 4, 2026–May 6, 2026
 Renton, WA, United States",
Cluster 2025,"Submission site open: February 3, 2025
Full Papers due: April 25, 2025","September 2-5, 2025 in Edinburgh, United Kingdom",A
HPCC-2025,"Submission Deadline:
30 April 2025","Exeter, England, UK, 13-15 August 2025",C
May,,,
EuroSys'26,"Spring deadline

Paper titles and abstracts due: Thursday, May 8, 2025 (AoE)
Full paper submissions due: Thursday, May 15, 2025 (AoE)","13th (Monday) —16th (Thursday) April, 2026 in Edinburgh, UK",A
ICPP 2026,"Abstract Submission: April 24, 2026
Paper Submission: May 1, 2026","Singapore, 28th September to 1st October, 2026",A
June,,,
MASCOTS 2026,"Paper submission deadline:  June 1st, 2025 AoE Sunday.","October 21-23, 2025

Paris, France",B
SBAC-PAD 2026,"Abstract Registration Due	Jul 1, 2026
Submission Deadline	Jul 9, 2026","Oct 14, 2026 - Oct 16, 2026 Madrid,Spain",B
HiPC 2025,"Abstract Submission Deadline: June 18, 2025 (Wednesday)
Paper Submission Deadline: June 25, 2025 (Wednesday)","December 17-20, 2025 | Hyderabad, India",
PODS’26,"CYCLE 1
Abstract deadline: June 3, 2025
Full paper submission deadline: June 10, 2025","May 31 - June 5, 2026
Bengaluru, India",A*
July,,,
